timestamp,url,structured_dom_chars,model_used,few_shot_config,auto_success,auto_success_with_vision,aborted_max_resumes,overall_timeout_seconds,strategy_type,verified,cmp_type,settings_extracted,handled,banner_dismissed,vision_banner_dismissed,heuristic_vision_mismatch,llm_calls,human_review_count,test_rule_count,analyze_screenshot_count,model_aborted,abort_reason,abort_code,abort_explanation,last_error,final_test_error,error_history,duration_seconds,extraction_duration_seconds,extraction_share_percent,banner_status_baseline,banner_status_audit,final_rule
2026-08-27T18:33:52.184253,https://arstechnica.com,299802,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,False,,GRANULAR_CONSENT,,,True,True,False,False,False,2,0,1,0,False,,,,,,[],322.25,16.61,5.15,"{""hasTcfApi"": true, ""tcfVisible"": true, ""tcfHidden"": false, ""scrollLocked"": false, ""heuristicBannerFound"": false, ""showingMatcherFound"": false}","{""hasTcfApi"": true, ""tcfVisible"": true, ""tcfHidden"": false, ""scrollLocked"": true, ""heuristicBannerFound"": false, ""showingMatcherFound"": true}","{""Fides"": {""detectors"": [{""presentMatcher"": {""type"": ""css"", ""target"": {""selector"": ""#fides-accept-all-button""}}, ""showingMatcher"": {""type"": ""css"", ""target"": {""selector"": ""#fides-accept-all-button"", ""displayFilter"": true}}}], ""methods"": [{""name"": ""OPEN_OPTIONS"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""#fides-manage-</strong>preferences-button""}}}, {""name"": ""DO_CONSENT"", ""action"": {""type"": ""consent"", ""consents"": [{""type"": ""D"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""input[aria-label=\""Store and/or access information on a device\""]""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""input[aria-label=\""Store and/or access information on a device\""]""}}}, {""type"": ""A"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""input[aria-label=\""Functional Cookies\""]""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""input[aria-label=\""Functional Cookies\""]""}}}, {""type"": ""B"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""input[aria-label=\""Audience Measurement\""]""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""input[aria-label=\""Audience Measurement\""]""}}}, {""type"": ""F"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""input[aria-label=\""Targeted Advertising\""]""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""input[aria-label=\""Targeted Advertising\""]""}}}, {""type"": ""E"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""input[aria-label=\""Create profiles to personalise content\""]""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""input[aria-label=\""Create profiles to personalise content\""]""}}}]}}, {""name"": ""SAVE_CONSENT"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""button[aria-label*=\""Save\""], button[aria-label*=\""Confirm\""], button[aria-label*=\""Apply\""]""}}}, {""name"": ""HIDE_CMP"", ""action"": {""type"": ""hide"", ""target"": {""selector"": ""[id*=\""fides\""]""}}}]}}"
2026-08-27T19:03:53.179326,https://www.imdb.com,31648,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,,1800,UNKNOWN,,Anthropic_Custom,True,True,True,False,True,6,0,1,0,False,,,,ABORTED: overall timeout reached (1800s),Selector Failed: ACTION_TARGET_NOT_FOUND: #ADVERTISING-off-announce | Selector Failed: ACTION_TARGET_NOT_FOUND: #data-ads-imdb-off-announce | Selector Failed: ACTION_TARGET_NOT_FOUND: #data-ads-3p-off-announce | Selector Failed: ACTION_TARGET_NOT_FOUND: input[name='rejectOrSave'],"[""Selector Failed: ACTION_TARGET_NOT_FOUND: #ADVERTISING-off-announce | Selector Failed: ACTION_TARGET_NOT_FOUND: #data-ads-imdb-off-announce | Selector Failed: ACTION_TARGET_NOT_FOUND: #data-ads-3p-off-announce | Selector Failed: ACTION_TARGET_NOT_FOUND: input[name='rejectOrSave']""]",1800.11,25.14,1.4,"{""hasTcfApi"": false, ""tcfVisible"": null, ""tcfHidden"": null, ""scrollLocked"": false, ""heuristicBannerFound"": true, ""showingMatcherFound"": true}","{""hasTcfApi"": true, ""tcfVisible"": false, ""tcfHidden"": true, ""scrollLocked"": false, ""heuristicBannerFound"": false, ""showingMatcherFound"": false}",null
2026-08-27T19:10:22.371693,https://www.amazon.de,157345,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,False,,GRANULAR_CONSENT,,Unidentified CMP,True,,False,,False,1,0,0,0,False,,,,,,[],389.17,216.21,55.56,{},{},"{""Amazon"": {""detectors"": [{""presentMatcher"": {""type"": ""css"", ""target"": {""selector"": ""[id*='cos-banner']""}}, ""showingMatcher"": {""type"": ""css"", ""target"": {""selector"": ""[id*='cos-banner']"", ""displayFilter"": true}}}], ""methods"": [{""name"": ""HIDE_CMP"", ""action"": {""type"": ""hide"", ""target"": {""selector"": ""[id*='cos-banner']""}}}, {""name"": ""OPEN_OPTIONS"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""#sp-cc-customize""}}}, {""name"": ""DO_CONSENT"", ""action"": {""type"": ""consent"", ""consents"": [{""type"": ""F"", ""parent"": {""selector"": "".a-section"", ""childFilter"": {""target"": {""selector"": ""h1"", ""textFilter"": ""Amazon advertising cookies""}}}, ""trueAction"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""On""}}, ""falseAction"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""Off""}}}, {""type"": ""F"", ""parent"": {""selector"": "".a-section"", ""childFilter"": {""target"": {""selector"": ""h1"", ""textFilter"": ""Third party advertising cookies""}}}, ""trueAction"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""On""}}, ""falseAction"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""Off""}}}, {""type"": ""F"", ""parent"": {""selector"": "".a-section"", ""childFilter"": {""target"": {""selector"": ""h1"", ""textFilter"": ""Personal information from third party advertisers""}}}, ""trueAction"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""On""}}, ""false:"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""Off""}}}, {""type"": ""A"", ""parent"": {""selector"": "".a-section"", ""childFilter"": {""target"": {""selector"": ""h1"", ""textFilter"": ""Personal information from Amazon services""}}}, ""trueAction"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""On""}}, ""falseAction"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""Off""}}}]}}, {""name"": ""SAVE_CONSENT"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""input[name='saveSelectedPrefs']""}}}]}}"
2026-08-27T19:40:23.096593,https://www.kleinanzeigen.de,266784,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,,1800,UNKNOWN,,,True,False,False,,False,9,0,1,0,False,,,,ABORTED: overall timeout reached (1800s),"Puppeteer Error in test_rule: Execution context was destroyed, most likely because of a navigation.","[""Puppeteer Error in test_rule: Execution context was destroyed, most likely because of a navigation.""]",1800.12,16.26,0.9,{},{},null
2026-08-27T19:41:48.029994,https://www.bbc.co.uk,383,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,False,,MODEL_ABORTED,,,False,,False,True,True,2,0,0,1,True,"NO_BANNER_DETECTED: The initial DOM extraction resulted in an ""Access denied"" message, and the visual analysis tool found no detectable cookie consent interface on the page.",NO_BANNER_DETECTED,"The initial DOM extraction resulted in an ""Access denied"" message, and the visual analysis tool found no detectable cookie consent interface on the page.","NO_BANNER_DETECTED: The initial DOM extraction resulted in an ""Access denied"" message, and the visual analysis tool found no detectable cookie consent interface on the page.",,"[""NO_BANNER_DETECTED: The initial DOM extraction resulted in an \""Access denied\"" message, and the visual analysis tool found no detectable cookie consent interface on the page.""]",84.91,40.59,47.8,{},{},null
2026-08-27T19:59:43.932240,https://www.zeit.de,38314,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,False,,DECLINE_FALLBACK,,Sourcepoint,True,True,False,False,False,10,1,2,0,False,,,,No rule found in agent message,Selector Failed: ACTION_TARGET_NOT_FOUND: .sp_choice_type_REJECT_ALL,"[""Selector Failed: ACTION_TARGET_NOT_FOUND: [aria-label=\""Zustimmung widerrufen\""]"", ""Selector Failed: ACTION_TARGET_NOT_FOUND: .sp_choice_type_REJECT_ALL""]",1075.5,7.86,0.73,"{""hasTcfApi"": true, ""tcfVisible"": true, ""tcfHidden"": false, ""scrollLocked"": true, ""heuristicBannerFound"": true, ""showingMatcherFound"": false}","{""hasTcfApi"": true, ""tcfVisible"": true, ""tcfHidden"": false, ""scrollLocked"": true, ""heuristicBannerFound"": true, ""showingMatcherFound"": false}","{""Sourcepoint"": {""detectors"": [{""presentMatcher"": {""type"": ""css"", ""target"": {""selector"": ""[class*='message-container']"", ""iframeFilter"": true}}, ""showingMatcher"": {""type"": ""css"", ""target"": {""selector"": ""[class*='message-container']"", ""iframeFilter"": true}}}], ""methods"": [{""name"": ""HIDE_CMP"", ""action"": {""type"": ""hide"", ""target"": {""selector"": ""[class*='message_container']"", ""iframeFilter"": true}}}, {""name"": ""SAVE_CONSENT"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""button.sp_choice_type_REJECT_ALL"", ""iframeFilter"": true}}}]}}"
2026-08-27T20:01:34.048670,https://x.com,23602,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),True,True,False,,DECLINE_FALLBACK_OR_BINARY,,,False,True,True,True,False,2,0,1,0,False,,,,,,[],109.65,27.79,25.34,"{""hasTcfApi"": false, ""tcfVisible"": null, ""tcfHidden"": null, ""scrollLocked"": false, ""heuristicBannerFound"": true, ""showingMatcherFound"": true}","{""hasTcfApi"": false, ""tcfVisible"": null, ""tcfHidden"": null, ""scrollLocked"": false, ""heuristicBannerFound"": false, ""showingMatcherFound"": false}","{""x.com"": {""detectors"": [{""presentMatcher"": {""type"": ""css"", ""target"": {""selector"": ""div[role='region'][aria-label='Cookie consent']""}}, ""showingMatcher"": {""type"": ""css"", ""target"": {""selector"": ""div[role='region'][aria-label='Cookie consent']"", ""displayFilter"": true}}}], ""methods"": [{""name"": ""HIDE_CMP"", ""action"": {""type"": ""hide"", ""target"": {""selector"": ""div[role='region'][aria-label='Cookie consent']""}}}, {""name"": ""SAVE_CONSENT"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""button"", ""textFilter"": ""Refuse non-essential cookies""}}}]}}"
2026-08-27T20:02:57.747612,https://www.samsung.com,23965,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,False,,GRANULAR_CONSENT,,TrustArc,True,,False,,False,1,0,0,0,False,,,,,,[],83.21,7.91,9.51,{},{},"{""TrustArc"": {""detectors"": [{""presentMatcher"": {""type"": ""css"", ""target"": {""selector"": ""[id^='truste']""}}, ""showingMatcher"": {""type"": ""css"", ""target"": {""selector"": ""[id^='truste']""}}}], ""methods"": [{""name"": ""HIDE_CMP"", ""action"": {""type"": ""hide"", ""target"": {""selector"": ""[id^='truste']""}}}, {""name"": ""OPEN_OPTIONS"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""#truste-show-consent""}}}, {""name"": ""DO_CONSENT"", ""action"": {""type"": ""consent"", ""consents"": [{""type"": ""A"", ""trueAction"": {""type"": ""click"", ""iframeFilter"": true, ""target"": {""selector"": ""[aria-label='Accept Funktionalitets- og profilcookies']""}}, ""falseAction"": {""type"": ""click"", ""iframeFilter"": true, ""target"": {""selector"": ""[aria-label='Refuse Funktionalitets- og profilcookies']""}}}, {""type"": ""B"", ""trueAction"": {""type"": ""click"", ""iframeFilter"": true, ""target"": {""selector"": ""[aria-label='Accept Analytiske / performance cookies']""}}, ""falseAction"": {""type"": ""click"", ""iframeFilter"": true, ""target"": {""selector"": ""[aria-label='Refuse Analytiske / performance cookies']""}}}, {""type"": ""F"", ""trueAction"": {""type"": ""click"", ""iframeFilter"": true, ""target"": {""selector"": ""[aria-label='Accept Reklame- og Targetingcookies']""}}, ""falseAction"": {""type"": ""click"", ""iframeFilter"": true, ""target"": {""selector"": ""[aria-label='Refuse Reklame- og Targetingcookies']""}}}]}}, {""name"": ""SAVE_CONSENT"", ""action"": {""type"": ""list"", ""actions"": [{""type"": ""wait"", ""waitTime"": 500}, {""type"": ""click"", ""iframeFilter"": true, ""target"": {""selector"": ""a.submit""}}]}}]}}"
2026-08-27T20:03:54.587450,https://sourceforge.net,3050,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,False,,MODEL_ABORTED,,,False,,False,,False,1,0,0,0,True,"NO_BANNER_DETECTED: The provided DOM shows a Cloudflare security verification page (""Performing security verification"") rather than a cookie consent interface. No buttons or controls related to cookie consent were found in the document.",NO_BANNER_DETECTED,"The provided DOM shows a Cloudflare security verification page (""Performing security verification"") rather than a cookie consent interface. No buttons or controls related to cookie consent were found in the document.","NO_BANNER_DETECTED: The provided DOM shows a Cloudflare security verification page (""Performing security verification"") rather than a cookie consent interface. No buttons or controls related to cookie consent were found in the document.",,"[""NO_BANNER_DETECTED: The provided DOM shows a Cloudflare security verification page (\""Performing security verification\"") rather than a cookie consent interface. No buttons or controls related to cookie consent were found in the document.""]",56.41,50.34,89.24,{},{},null
2026-08-27T20:16:55.175744,https://www.bing.com,460402,gemma4:26b,cookiebot+swedbank+mock (filteredHtml: False/False/True),False,False,False,,GRANULAR_CONSENT,,,True,,False,,False,21,1,0,0,False,,,,No rule found in agent message,,[],780.17,15.25,1.95,{},{},"{""bing"": {""detectors"": [{""presentMatcher"": {""type"": ""css"", ""target"": {""selector"": ""#bnp_cookie_banner""}}, ""showingMatcher"": {""type"": ""css"", ""target"": {""selector"": ""#bnp_cookie_banner"", ""displayFilter"": true}}}], ""methods"": [{""name"": ""HIDE_CMP"", ""action"": {""type"": ""hide"", ""target"": {""selector"": ""#b</strong>cookie_banner""}}}, {""name"": ""OPEN_OPTIONS"", ""action"": {""type"": ""click"", ""target"": {""selector"": ""#bnp_btn_preference""}}}, {""name"": ""DO_CONSENT"", ""action"": {""type"": ""consent"", ""consents"": [{""type"": ""B"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""#analytics_checkbox""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""#analytics_checkbox""}}}, {""type"": ""X"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""#sm_checkbox""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""#sm_checkbox""}}}, {""type"": ""F"", ""matcher"": {""type"": ""checkbox"", ""target"": {""selector"": ""#ad_checkbox""}}, ""toggleAction"": {""type"": ""click"", ""target"": {""selector"": ""#ad_checkbox""}}}]}}, {""name"": ""SAVE_CONSENT"", ""action"": {""type"": ""list"", ""actions"": [{""type"": ""wait"", ""waitTime"": 500}, {""type"": ""click"", ""target"": {""selector"": ""#mcp_savesettings""}}]}}]}}"
